"","Description","spID","MW","retinaKO","retinaWT","testisKO","testisWT"
"17","14-3-3 protein theta OS=Mus musculus GN=Ywhaq PE=1 SV=1","P68254",28,13,13,6,6
"18","14-3-3 protein zeta/delta OS=Mus musculus GN=Ywhaz PE=1 SV=1","P63101",28,16,15,14,13
"19","182 kDa tankyrase-1-binding protein OS=Mus musculus GN=Tnks1bp1 PE=1 SV=2","P58871",182,0,5,0,0
"20","2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial OS=Mus musculus GN=Gcat PE=1 SV=2","O88986",45,0,0,0,2
"21","2-oxoglutarate dehydrogenase, mitochondrial OS=Mus musculus GN=Ogdh PE=1 SV=3","Q60597",116,0,0,5,6
"22","2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial OS=Mus musculus GN=Bckdha PE=1 SV=1","P50136",50,0,0,13,9
"23","2-oxoisovalerate dehydrogenase subunit beta, mitochondrial OS=Mus musculus GN=Bckdhb PE=1 SV=2","Q6P3A8",43,0,0,10,8
"24","26S proteasome non-ATPase regulatory subunit 1 OS=Mus musculus GN=Psmd1 PE=1 SV=1","Q3TXS7",106,0,0,16,19
"25","26S proteasome non-ATPase regulatory subunit 11 OS=Mus musculus GN=Psmd11 PE=1 SV=3","Q8BG32",47,0,0,6,9
"26","26S proteasome non-ATPase regulatory subunit 12 OS=Mus musculus GN=Psmd12 PE=1 SV=4","Q9D8W5",53,0,0,12,8
"27","26S proteasome non-ATPase regulatory subunit 13 OS=Mus musculus GN=Psmd13 PE=1 SV=1","Q9WVJ2",43,0,0,17,14
"28","26S proteasome non-ATPase regulatory subunit 14 OS=Mus musculus GN=Psmd14 PE=1 SV=2","O35593",35,0,0,3,3
"29","26S proteasome non-ATPase regulatory subunit 2 OS=Mus musculus GN=Psmd2 PE=1 SV=1","Q8VDM4",100,0,2,29,31
"30","26S proteasome non-ATPase regulatory subunit 3 OS=Mus musculus GN=Psmd3 PE=1 SV=3","P14685",61,0,0,11,13
"31","26S proteasome non-ATPase regulatory subunit 4 OS=Mus musculus GN=Psmd4 PE=1 SV=1","O35226",41,0,0,2,0
"32","26S proteasome non-ATPase regulatory subunit 5 OS=Mus musculus GN=Psmd5 PE=1 SV=4","Q8BJY1",56,4,5,9,5
"33","26S proteasome non-ATPase regulatory subunit 6 OS=Mus musculus GN=Psmd6 PE=1 SV=1","Q99JI4",46,0,0,14,12
"34","26S proteasome non-ATPase regulatory subunit 7 OS=Mus musculus GN=Psmd7 PE=1 SV=2","P26516",37,0,0,8,9
"35","26S proteasome non-ATPase regulatory subunit 8 OS=Mus musculus GN=Psmd8 PE=1 SV=2","Q9CX56",40,0,0,5,3
"36","26S proteasome regulatory subunit 10B OS=Mus musculus GN=Psmc6 PE=1 SV=1","P62334",44,0,0,12,10
"37","26S proteasome regulatory subunit 4 OS=Mus musculus GN=Psmc1 PE=1 SV=1","P62192",49,0,0,15,15
"38","26S proteasome regulatory subunit 6A OS=Mus musculus GN=Psmc3 PE=1 SV=2","O88685",50,0,0,11,14
"39","26S proteasome regulatory subunit 6B OS=Mus musculus GN=Psmc4 PE=1 SV=2","P54775",47,5,4,18,19
"40","26S proteasome regulatory subunit 7 OS=Mus musculus GN=Psmc2 PE=1 SV=5","P46471",49,0,0,17,15
"41","26S proteasome regulatory subunit 8 OS=Mus musculus GN=Psmc5 PE=1 SV=1","P62196",46,3,5,21,20
"42","28S ribosomal protein S10, mitochondrial OS=Mus musculus GN=Mrps10 PE=1 SV=1","Q80ZK0",19,4,0,3,7
"43","28S ribosomal protein S11, mitochondrial OS=Mus musculus GN=Mrps11 PE=1 SV=2","Q9DCA2",20,0,0,0,2
"44","28S ribosomal protein S14, mitochondrial OS=Mus musculus GN=Mrps14 PE=1 SV=1","Q9CR88",15,0,0,0,2
"45","28S ribosomal protein S15, mitochondrial OS=Mus musculus GN=Mrps15 PE=1 SV=2","Q9DC71",29,0,0,2,2
"46","28S ribosomal protein S17, mitochondrial OS=Mus musculus GN=Mrps17 PE=1 SV=1","Q9CQE3",13,2,2,3,4
"47","28S ribosomal protein S18b, mitochondrial OS=Mus musculus GN=Mrps18b PE=1 SV=1","Q99N84",29,0,2,0,0
"48","28S ribosomal protein S2, mitochondrial OS=Mus musculus GN=Mrps2 PE=1 SV=1","Q924T2",32,4,4,9,11
"49","28S ribosomal protein S22, mitochondrial OS=Mus musculus GN=Mrps22 PE=1 SV=1","Q9CXW2",41,7,9,8,10
"50","28S ribosomal protein S23, mitochondrial OS=Mus musculus GN=Mrps23 PE=1 SV=1","Q8VE22",20,8,6,5,9
"51","28S ribosomal protein S24, mitochondrial OS=Mus musculus GN=Mrps24 PE=1 SV=1","Q9CQV5",19,2,2,0,3
"52","28S ribosomal protein S25, mitochondrial OS=Mus musculus GN=Mrps25 PE=1 SV=1","Q9D125",20,3,4,2,3
"53","28S ribosomal protein S26, mitochondrial OS=Mus musculus GN=Mrps26 PE=1 SV=1","Q80ZS3",23,0,2,0,0
"54","28S ribosomal protein S27, mitochondrial OS=Mus musculus GN=Mrps27 PE=1 SV=2","Q8BK72",48,8,9,10,13
"55","28S ribosomal protein S28, mitochondrial OS=Mus musculus GN=Mrps28 PE=1 SV=1","Q9CY16",21,5,3,0,2
"56","28S ribosomal protein S29, mitochondrial OS=Mus musculus GN=Dap3 PE=1 SV=1","Q9ER88",45,5,6,13,12
"57","28S ribosomal protein S30, mitochondrial OS=Mus musculus GN=Mrps30 PE=1 SV=1","Q9D0G0",50,0,0,2,3
"58","28S ribosomal protein S31, mitochondrial OS=Mus musculus GN=Mrps31 PE=1 SV=1","Q61733",44,7,9,2,3
"59","28S ribosomal protein S33, mitochondrial OS=Mus musculus GN=Mrps33 PE=1 SV=1","Q9D2R8",12,2,2,3,3
"60","28S ribosomal protein S34, mitochondrial OS=Mus musculus GN=Mrps34 PE=1 SV=1","Q9JIK9",26,9,7,6,6
"61","28S ribosomal protein S35, mitochondrial OS=Mus musculus GN=Mrps35 PE=1 SV=2","Q8BJZ4",36,3,5,8,7
"62","28S ribosomal protein S5, mitochondrial OS=Mus musculus GN=Mrps5 PE=1 SV=1","Q99N87",48,0,6,14,12
"63","28S ribosomal protein S6, mitochondrial OS=Mus musculus GN=Mrps6 PE=1 SV=3","P58064",14,0,0,0,4
"64","28S ribosomal protein S7, mitochondrial OS=Mus musculus GN=Mrps7 PE=1 SV=1","Q80X85",28,3,3,7,8
"65","28S ribosomal protein S9, mitochondrial OS=Mus musculus GN=Mrps9 PE=1 SV=3","Q9D7N3",45,8,6,9,11
"66","3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1 OS=Mus musculus GN=Hsd3b1 PE=1 SV=3","P24815",42,0,0,8,10
"67","3-keto-steroid reductase OS=Mus musculus GN=Hsd17b7 PE=1 SV=1","O88736",37,0,0,2,2
"68","3-ketoacyl-CoA thiolase B, peroxisomal OS=Mus musculus GN=Acaa1b PE=1 SV=1","Q8VCH0",44,0,0,3,4
"69","3-ketoacyl-CoA thiolase, mitochondrial OS=Mus musculus GN=Acaa2 PE=1 SV=3","Q8BWT1",42,8,6,39,36
"70","39S ribosomal protein L15, mitochondrial OS=Mus musculus GN=Mrpl15 PE=1 SV=1","Q9CPR5",34,0,2,0,0
"71","39S ribosomal protein L21, mitochondrial OS=Mus musculus GN=Mrpl21 PE=1 SV=1","Q9D1N9",23,2,0,0,0
"72","39S ribosomal protein L22, mitochondrial OS=Mus musculus GN=Mrpl22 PE=1 SV=1","Q8BU88",24,0,0,0,2
"73","39S ribosomal protein L28, mitochondrial OS=Mus musculus GN=Mrpl28 PE=1 SV=3","Q9D1B9",30,0,2,0,0
"74","39S ribosomal protein L37, mitochondrial OS=Mus musculus GN=Mrpl37 PE=1 SV=1","Q921S7",48,3,2,2,2
"75","4-trimethylaminobutyraldehyde dehydrogenase OS=Mus musculus GN=Aldh9a1 PE=1 SV=1","Q9JLJ2",54,0,0,17,20
"76","40S ribosomal protein S10 OS=Mus musculus GN=Rps10 PE=1 SV=1","P63325",19,3,5,33,39
"77","40S ribosomal protein S11 OS=Mus musculus GN=Rps11 PE=1 SV=3","P62281",18,27,27,28,30
"78","40S ribosomal protein S12 OS=Mus musculus GN=Rps12 PE=1 SV=2","P63323",15,3,0,11,11
"79","40S ribosomal protein S13 OS=Mus musculus GN=Rps13 PE=1 SV=2","P62301",17,27,24,29,30
"80","40S ribosomal protein S14 OS=Mus musculus GN=Rps14 PE=1 SV=3","P62264",16,10,9,27,25
"81","40S ribosomal protein S15 OS=Mus musculus GN=Rps15 PE=1 SV=2","P62843",17,18,20,33,31
"82","40S ribosomal protein S15a OS=Mus musculus GN=Rps15a PE=1 SV=2","P62245",15,10,13,24,24
"83","40S ribosomal protein S16 OS=Mus musculus GN=Rps16 PE=1 SV=4","P14131",16,19,15,36,43
"84","40S ribosomal protein S17 OS=Mus musculus GN=Rps17 PE=1 SV=2","P63276",16,13,9,30,28
"85","40S ribosomal protein S18 OS=Mus musculus GN=Rps18 PE=1 SV=3","P62270",18,15,13,30,34
"86","40S ribosomal protein S19 OS=Mus musculus GN=Rps19 PE=1 SV=3","Q9CZX8",16,0,2,24,30
"87","40S ribosomal protein S2 OS=Mus musculus GN=Rps2 PE=1 SV=3","P25444",31,47,38,66,48
"88","40S ribosomal protein S20 OS=Mus musculus GN=Rps20 PE=1 SV=1","P60867",13,2,4,9,12
"89","40S ribosomal protein S21 OS=Mus musculus GN=Rps21 PE=1 SV=1","Q9CQR2",9,0,0,5,7
"90","40S ribosomal protein S23 OS=Mus musculus GN=Rps23 PE=1 SV=3","P62267",16,7,7,12,11
"91","40S ribosomal protein S24 OS=Mus musculus GN=Rps24 PE=1 SV=1","P62849",15,10,6,15,18
"92","40S ribosomal protein S25 OS=Mus musculus GN=Rps25 PE=1 SV=1","P62852",14,5,6,11,11
"93","40S ribosomal protein S26 OS=Mus musculus GN=Rps26 PE=1 SV=3","P62855",13,6,6,7,8
"94","40S ribosomal protein S27 OS=Mus musculus GN=Rps27 PE=1 SV=3","Q6ZWU9",9,8,7,8,9
"95","40S ribosomal protein S27-like OS=Mus musculus GN=Rps27l PE=1 SV=3","Q6ZWY3",9,0,0,6,7
"96","40S ribosomal protein S28 OS=Mus musculus GN=Rps28 PE=1 SV=1","P62858",8,0,3,2,5
"97","40S ribosomal protein S29 OS=Mus musculus GN=Rps29 PE=3 SV=2","P62274",7,3,5,8,8
"98","40S ribosomal protein S3 OS=Mus musculus GN=Rps3 PE=1 SV=1","P62908",27,27,26,58,62
"99","40S ribosomal protein S30 OS=Mus musculus GN=Fau PE=1 SV=1","P62862",7,0,0,0,2
"100","40S ribosomal protein S3a OS=Mus musculus GN=Rps3a PE=1 SV=3","P97351",30,24,24,50,44
"101","40S ribosomal protein S4, X isoform OS=Mus musculus GN=Rps4x PE=1 SV=2","P62702",30,35,38,48,44
"102","40S ribosomal protein S5 OS=Mus musculus GN=Rps5 PE=1 SV=3","P97461",23,11,10,30,33
"103","40S ribosomal protein S6 OS=Mus musculus GN=Rps6 PE=1 SV=1","P62754",29,13,12,42,34
"104","40S ribosomal protein S7 OS=Mus musculus GN=Rps7 PE=2 SV=1","P62082",22,0,2,43,42
"105","40S ribosomal protein S8 OS=Mus musculus GN=Rps8 PE=1 SV=2","P62242",24,17,16,36,30
"106","40S ribosomal protein S9 OS=Mus musculus GN=Rps9 PE=1 SV=3","Q6ZWN5",23,18,23,39,33
"107","40S ribosomal protein SA OS=Mus musculus GN=Rpsa PE=1 SV=4","P14206",33,3,6,26,27
"108","4F2 cell-surface antigen heavy chain OS=Mus musculus GN=Slc3a2 PE=1 SV=1","P10852",58,0,0,2,4
"109","5-oxoprolinase OS=Mus musculus GN=Oplah PE=1 SV=1","Q8K010",138,0,2,11,7
"110","5'-3' exoribonuclease 1 OS=Mus musculus GN=Xrn1 PE=1 SV=1","P97789",194,8,13,0,0
"111","5'-3' exoribonuclease 2 OS=Mus musculus GN=Xrn2 PE=1 SV=1","Q9DBR1",109,97,94,63,64
"112","5'-AMP-activated protein kinase subunit gamma-1 OS=Mus musculus GN=Prkag1 PE=1 SV=2","O54950",38,0,0,3,0
"113","5'-AMP-activated protein kinase subunit gamma-2 OS=Mus musculus GN=Prkag2 PE=1 SV=2","Q91WG5",63,0,0,9,9
"114","52 kDa repressor of the inhibitor of the protein kinase OS=Mus musculus GN=Thap12 PE=2 SV=2","Q9CUX1",87,0,2,0,0
"115","60 kDa heat shock protein, mitochondrial OS=Mus musculus GN=Hspd1 PE=1 SV=1","P63038",61,0,0,0,2
"116","60S acidic ribosomal protein P0 OS=Mus musculus GN=Rplp0 PE=1 SV=3","P14869",34,17,19,31,34
"117","60S acidic ribosomal protein P1 OS=Mus musculus GN=Rplp1 PE=1 SV=1","P47955",11,0,3,6,6
"118","60S acidic ribosomal protein P2 OS=Mus musculus GN=Rplp2 PE=1 SV=3","P99027",12,3,7,3,4
"119","60S ribosomal export protein NMD3 OS=Mus musculus GN=Nmd3 PE=1 SV=1","Q99L48",58,0,0,21,18
"120","60S ribosomal protein L10 OS=Mus musculus GN=Rpl10 PE=1 SV=3","Q6ZWV3",25,39,32,0,0
"121","60S ribosomal protein L10-like OS=Mus musculus GN=Rpl10l PE=2 SV=1","P86048",25,0,0,21,21
"122","60S ribosomal protein L10a OS=Mus musculus GN=Rpl10a PE=1 SV=3","P53026",25,13,15,20,19
"123","60S ribosomal protein L11 OS=Mus musculus GN=Rpl11 PE=1 SV=4","Q9CXW4",20,0,3,10,15
"124","60S ribosomal protein L12 OS=Mus musculus GN=Rpl12 PE=1 SV=2","P35979",18,8,10,10,12
"125","60S ribosomal protein L13 OS=Mus musculus GN=Rpl13 PE=1 SV=3","P47963",24,8,8,21,20
"126","60S ribosomal protein L13a OS=Mus musculus GN=Rpl13a PE=1 SV=4","P19253",23,3,2,15,10
"127","60S ribosomal protein L14 OS=Mus musculus GN=Rpl14 PE=1 SV=3","Q9CR57",24,6,7,14,12
"128","60S ribosomal protein L15 OS=Mus musculus GN=Rpl15 PE=2 SV=4","Q9CZM2",24,6,7,13,13
"129","60S ribosomal protein L17 OS=Mus musculus GN=Rpl17 PE=1 SV=3","Q9CPR4",21,26,25,17,19
"130","60S ribosomal protein L18 OS=Mus musculus GN=Rpl18 PE=1 SV=3","P35980",22,0,3,9,5
"131","60S ribosomal protein L18a OS=Mus musculus GN=Rpl18a PE=1 SV=1","P62717",21,7,7,16,15
"132","60S ribosomal protein L19 OS=Mus musculus GN=Rpl19 PE=1 SV=1","P84099",23,4,5,8,9
"133","60S ribosomal protein L21 OS=Mus musculus GN=Rpl21 PE=1 SV=3","O09167",19,7,4,11,10
"134","60S ribosomal protein L22 OS=Mus musculus GN=Rpl22 PE=1 SV=2","P67984",15,0,0,2,3
"135","60S ribosomal protein L23 OS=Mus musculus GN=Rpl23 PE=1 SV=1","P62830",15,11,13,12,18
"136","60S ribosomal protein L23a OS=Mus musculus GN=Rpl23a PE=1 SV=1","P62751",18,18,18,12,12
"137","60S ribosomal protein L24 OS=Mus musculus GN=Rpl24 PE=1 SV=2","Q8BP67",18,13,11,11,9
"138","60S ribosomal protein L26 OS=Mus musculus GN=Rpl26 PE=1 SV=1","P61255",17,12,12,9,13
"139","60S ribosomal protein L27 OS=Mus musculus GN=Rpl27 PE=1 SV=2","P61358",16,4,7,10,13
"140","60S ribosomal protein L27a OS=Mus musculus GN=Rpl27a PE=1 SV=5","P14115",17,9,7,6,8
"141","60S ribosomal protein L28 OS=Mus musculus GN=Rpl28 PE=1 SV=2","P41105",16,11,10,9,12
"142","60S ribosomal protein L29 OS=Mus musculus GN=Rpl29 PE=1 SV=2","P47915",18,0,0,2,2
"143","60S ribosomal protein L3 OS=Mus musculus GN=Rpl3 PE=1 SV=3","P27659",46,24,30,40,33
"144","60S ribosomal protein L30 OS=Mus musculus GN=Rpl30 PE=1 SV=2","P62889",13,4,4,13,12
"145","60S ribosomal protein L31 OS=Mus musculus GN=Rpl31 PE=1 SV=1","P62900",14,5,5,8,7
"146","60S ribosomal protein L32 OS=Mus musculus GN=Rpl32 PE=1 SV=2","P62911",16,0,0,7,5
"147","60S ribosomal protein L34 OS=Mus musculus GN=Rpl34 PE=1 SV=2","Q9D1R9",13,0,0,6,5
"148","60S ribosomal protein L35 OS=Mus musculus GN=Rpl35 PE=1 SV=1","Q6ZWV7",15,0,2,5,3
"149","60S ribosomal protein L35a OS=Mus musculus GN=Rpl35a PE=1 SV=2","O55142",13,4,5,10,13
"150","60S ribosomal protein L36a OS=Mus musculus GN=Rpl36a PE=1 SV=2","P83882",12,3,5,7,7
"151","60S ribosomal protein L37a OS=Mus musculus GN=Rpl37a PE=1 SV=2","P61514",10,5,4,7,8
"152","60S ribosomal protein L38 OS=Mus musculus GN=Rpl38 PE=1 SV=3","Q9JJI8",8,6,5,5,4
"153","60S ribosomal protein L4 OS=Mus musculus GN=Rpl4 PE=1 SV=3","Q9D8E6",47,8,6,34,29
"154","60S ribosomal protein L5 OS=Mus musculus GN=Rpl5 PE=1 SV=3","P47962",34,6,4,23,27
"155","60S ribosomal protein L6 OS=Mus musculus GN=Rpl6 PE=1 SV=3","P47911",34,5,6,27,25
"156","60S ribosomal protein L7 OS=Mus musculus GN=Rpl7 PE=1 SV=2","P14148",31,4,6,28,26
"157","60S ribosomal protein L7a OS=Mus musculus GN=Rpl7a PE=1 SV=2","P12970",30,6,7,33,30
"158","60S ribosomal protein L8 OS=Mus musculus GN=Rpl8 PE=1 SV=2","P62918",28,5,5,14,14
"159","60S ribosomal protein L9 OS=Mus musculus GN=Rpl9 PE=2 SV=2","P51410",22,7,6,16,16
"160","7-dehydrocholesterol reductase OS=Mus musculus GN=Dhcr7 PE=1 SV=1","O88455",54,0,0,2,5
"161","78 kDa glucose-regulated protein OS=Mus musculus GN=Hspa5 PE=1 SV=3","P20029",72,30,30,76,62
"162","7SK snRNA methylphosphate capping enzyme OS=Mus musculus GN=Mepce PE=1 SV=2","Q8K3A9",72,0,2,0,0
"163","85/88 kDa calcium-independent phospholipase A2 OS=Mus musculus GN=Pla2g6 PE=1 SV=3","P97819",90,0,0,89,87
"164","A disintegrin and metallopeptidase domain 3 OS=Mus musculus GN=Adam3 PE=1 SV=1","F8VQ03",91,0,0,12,15
"165","A-kinase anchor protein 3 OS=Mus musculus GN=Akap3 PE=1 SV=2","O88987",96,0,0,0,2
"166","A-kinase anchor protein 4 OS=Mus musculus GN=Akap4 PE=1 SV=1","Q60662",94,0,0,0,2
"167","A-kinase anchor protein 8 OS=Mus musculus GN=Akap8 PE=1 SV=1","Q9DBR0",76,23,26,19,21
"168","A-kinase anchor protein 8-like OS=Mus musculus GN=Akap8l PE=1 SV=1","Q9R0L7",71,11,11,4,3
"169","A-kinase anchor protein 9 OS=Mus musculus GN=Akap9 PE=1 SV=2","Q70FJ1",436,4,2,0,0
"170","A-kinase anchor protein SPHKAP OS=Mus musculus GN=Sphkap PE=1 SV=2","Q6NSW3",185,0,2,0,0
"171","Abl interactor 1 OS=Mus musculus GN=Abi1 PE=1 SV=3","Q8CBW3",52,0,3,0,0
"172","Acetyl-CoA acetyltransferase, mitochondrial OS=Mus musculus GN=Acat1 PE=1 SV=1","Q8QZT1",45,22,22,23,24
"173","Acetyl-CoA carboxylase 1 OS=Mus musculus GN=Acaca PE=1 SV=1","Q5SWU9",265,14,24,71,86
"174","Acrosin OS=Mus musculus GN=Acr PE=1 SV=1","P23578",49,0,0,29,27
"175","Acrosin-binding protein OS=Mus musculus GN=Acrbp PE=1 SV=1","Q3V140",61,0,0,32,27
"176","Acrosomal protein KIAA1210 OS=Mus musculus GN=Kiaa1210 PE=1 SV=1","E9Q0C6",181,0,0,6,10
"177","Actin-binding LIM protein 1 OS=Mus musculus GN=Ablim1 PE=1 SV=1","Q8K4G5",97,21,19,0,0
"178","Actin-binding LIM protein 2 OS=Mus musculus GN=Ablim2 PE=1 SV=1","Q8BL65",68,9,10,0,0
"179","Actin-binding LIM protein 3 OS=Mus musculus GN=Ablim3 PE=1 SV=2","Q69ZX8",78,3,0,0,0
"180","Actin-like protein 6A OS=Mus musculus GN=Actl6a PE=1 SV=2","Q9Z2N8",47,23,17,30,17
"181","Actin-like protein 6B OS=Mus musculus GN=Actl6b PE=1 SV=1","Q99MR0",47,14,7,0,0
"182","Actin-like protein 7A OS=Mus musculus GN=Actl7a PE=1 SV=1","Q9QY84",49,0,0,17,13
"183","Actin-like protein 7B OS=Mus musculus GN=Actl7b PE=1 SV=2","Q9QY83",46,0,0,6,3
"184","Actin-related protein 10 OS=Mus musculus GN=Actr10 PE=1 SV=2","Q9QZB7",46,0,7,8,8
"185","Actin, alpha skeletal muscle OS=Mus musculus GN=Acta1 PE=1 SV=1","P68134",42,45,0,0,0
"186","Actin, aortic smooth muscle OS=Mus musculus GN=Acta2 PE=1 SV=1","P62737",42,0,0,76,60
"187","Actin, cytoplasmic 2 OS=Mus musculus GN=Actg1 PE=1 SV=1","P63260",42,54,55,61,57
"188","Activating signal cointegrator 1 complex subunit 1 OS=Mus musculus GN=Ascc1 PE=1 SV=1","Q9D8Z1",41,2,0,12,9
"189","Activating signal cointegrator 1 complex subunit 2 OS=Mus musculus GN=Ascc2 PE=1 SV=1","Q91WR3",86,0,0,10,8
"190","Activating signal cointegrator 1 complex subunit 3 OS=Mus musculus GN=Ascc3 PE=1 SV=1","E9PZJ8",251,4,5,11,20
"191","Activating signal cointegrator 1 OS=Mus musculus GN=Trip4 PE=1 SV=2","Q9QXN3",66,0,0,5,3
"192","Activity-dependent neuroprotector homeobox protein OS=Mus musculus GN=Adnp PE=1 SV=2","Q9Z103",124,42,36,0,6
"193","Acyl-CoA dehydrogenase family member 10 OS=Mus musculus GN=Acad10 PE=1 SV=1","Q8K370",119,0,0,2,0
"194","Acyl-CoA dehydrogenase family member 11 OS=Mus musculus GN=Acad11 PE=1 SV=2","Q80XL6",87,0,0,24,26
"195","Acyl-CoA synthetase family member 2, mitochondrial OS=Mus musculus GN=Acsf2 PE=1 SV=1","Q8VCW8",68,0,0,8,7
"196","Acyl-coenzyme A thioesterase 8 OS=Mus musculus GN=Acot8 PE=1 SV=1","P58137",36,0,0,0,2
"197","Acylglycerol kinase, mitochondrial OS=Mus musculus GN=Agk PE=1 SV=1","Q9ESW4",47,2,0,5,7
"198","Adenomatous polyposis coli protein OS=Mus musculus GN=Apc PE=1 SV=1","Q61315",311,4,5,0,0
"199","Adenosine deaminase domain-containing protein 1 OS=Mus musculus GN=Adad1 PE=1 SV=1","Q5SUE7",68,0,0,14,10
"200","Adenosine deaminase domain-containing protein 2 OS=Mus musculus GN=Adad2 PE=2 SV=1","Q9D5P4",51,0,0,6,7
"201","Adenosylhomocysteinase OS=Mus musculus GN=Ahcy PE=1 SV=3","P50247",48,4,4,4,5
"202","Adenylate kinase 8 OS=Mus musculus GN=Ak8 PE=1 SV=1","Q32M07",55,0,0,15,20
"203","Adenylate kinase isoenzyme 1 OS=Mus musculus GN=Ak1 PE=1 SV=1","Q9R0Y5",22,0,0,0,2
"204","Adenylosuccinate lyase OS=Mus musculus GN=Adsl PE=1 SV=2","P54822",55,0,2,19,16
"205","Adenylosuccinate synthetase isozyme 2 OS=Mus musculus GN=Adss PE=1 SV=2","P46664",50,0,0,8,2
"206","Adenylyl cyclase-associated protein 1 OS=Mus musculus GN=Cap1 PE=1 SV=4","P40124",52,0,4,0,0
"207","Adenylyltransferase and sulfurtransferase MOCS3 OS=Mus musculus GN=Mocs3 PE=1 SV=1","A2BDX3",49,0,0,0,3
"208","ADP-ribosylation factor 3 OS=Mus musculus GN=Arf3 PE=2 SV=2","P61205",21,3,5,0,0
"209","ADP-ribosylation factor 4 OS=Mus musculus GN=Arf4 PE=1 SV=2","P61750",20,2,6,2,2
"210","ADP-ribosylation factor GTPase-activating protein 1 OS=Mus musculus GN=Arfgap1 PE=1 SV=2","Q9EPJ9",45,2,4,2,0
"211","ADP-ribosylation factor GTPase-activating protein 3 OS=Mus musculus GN=Arfgap3 PE=1 SV=2","Q9D8S3",57,0,0,5,3
"212","ADP-ribosylation factor-like protein 2-binding protein OS=Mus musculus GN=Arl2bp PE=1 SV=1","Q9D385",19,0,11,0,11
"213","ADP/ATP translocase 1 OS=Mus musculus GN=Slc25a4 PE=1 SV=4","P48962",33,39,46,27,29
"214","ADP/ATP translocase 2 OS=Mus musculus GN=Slc25a5 PE=1 SV=3","P51881",33,37,37,32,31
"215","ADP/ATP translocase 4 OS=Mus musculus GN=Slc25a31 PE=1 SV=1","Q3V132",35,0,0,35,33
"216","Afadin OS=Mus musculus GN=Afdn PE=1 SV=3","Q9QZQ1",207,20,31,23,20
"217","Afadin- and alpha-actinin-binding protein OS=Mus musculus GN=Ssx2ip PE=1 SV=1","Q8VC66",71,0,0,10,9
"218","Alanine aminotransferase 2 OS=Mus musculus GN=Gpt2 PE=1 SV=1","Q8BGT5",58,0,0,13,14
"219","Alcohol dehydrogenase 1 OS=Mus musculus GN=Adh1 PE=1 SV=2","P00329",40,0,0,3,7
"220","Aldehyde dehydrogenase X, mitochondrial OS=Mus musculus GN=Aldh1b1 PE=1 SV=1","Q9CZS1",58,0,0,0,4
"221","Aldehyde dehydrogenase, mitochondrial OS=Mus musculus GN=Aldh2 PE=1 SV=1","P47738",57,0,0,12,11
