"","Description","spID","MW","retinaWT","retinaKO","testisWT","testisKO"
"56","28S ribosomal protein S29, mitochondrial OS=Mus musculus GN=Dap3 PE=1 SV=1","Q9ER88",45,5.15975903925287e-06,4.7341760166643e-06,9.214466712739e-06,9.92779438774146e-06
"57","28S ribosomal protein S30, mitochondrial OS=Mus musculus GN=Mrps30 PE=1 SV=1","Q9D0G0",50,0,0,2.07325501036628e-06,1.37461768445651e-06
"58","28S ribosomal protein S31, mitochondrial OS=Mus musculus GN=Mrps31 PE=1 SV=1","Q61733",44,7.91553943521747e-06,6.77847929658752e-06,2.35597160268895e-06,1.56206555051876e-06
"59","28S ribosomal protein S33, mitochondrial OS=Mus musculus GN=Mrps33 PE=1 SV=1","Q9D2R8",12,6.44969879906608e-06,7.10126402499645e-06,8.63856254319281e-06,8.59136052785319e-06
"60","28S ribosomal protein S34, mitochondrial OS=Mus musculus GN=Mrps34 PE=1 SV=1","Q9JIK9",26,1.0418744213876e-05,1.47487791288388e-05,7.97405773217798e-06,7.93048664109525e-06
"61","28S ribosomal protein S35, mitochondrial OS=Mus musculus GN=Mrps35 PE=1 SV=2","Q8BJZ4",36,5.37474899922174e-06,3.55063201249822e-06,6.71888197803885e-06,7.63676491364728e-06
"62","28S ribosomal protein S5, mitochondrial OS=Mus musculus GN=Mrps5 PE=1 SV=1","Q99N87",48,4.83727409929956e-06,0,8.63856254319281e-06,1.00232539491621e-05
"63","28S ribosomal protein S6, mitochondrial OS=Mus musculus GN=Mrps6 PE=1 SV=3","P58064",14,0,0,9.87264290650607e-06,0
"64","28S ribosomal protein S7, mitochondrial OS=Mus musculus GN=Mrps7 PE=1 SV=1","Q80X85",28,4.14623494225677e-06,4.56509830178343e-06,9.87264290650607e-06,8.59136052785319e-06
"65","28S ribosomal protein S9, mitochondrial OS=Mus musculus GN=Mrps9 PE=1 SV=3","Q9D7N3",45,5.15975903925287e-06,7.57468162666288e-06,8.44659448667742e-06,6.87308842228255e-06
"66","3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1 OS=Mus musculus GN=Hsd3b1 PE=1 SV=3","P24815",42,0,0,8.22720242208839e-06,6.54579849741195e-06
"67","3-keto-steroid reductase OS=Mus musculus GN=Hsd17b7 PE=1 SV=1","O88736",37,0,0,1.86779730663628e-06,1.85759146548177e-06
"68","3-ketoacyl-CoA thiolase B, peroxisomal OS=Mus musculus GN=Acaa1b PE=1 SV=1","Q8VCH0",44,0,0,3.14129547025193e-06,2.34309832577814e-06
"69","3-ketoacyl-CoA thiolase, mitochondrial OS=Mus musculus GN=Acaa2 PE=1 SV=3","Q8BWT1",42,5.52831325634236e-06,8.11573031428166e-06,2.96179287195182e-05,3.19107676748833e-05
"70","39S ribosomal protein L15, mitochondrial OS=Mus musculus GN=Mrpl15 PE=1 SV=1","Q9CPR5",34,2.27636428202332e-06,0,0,0
"71","39S ribosomal protein L21, mitochondrial OS=Mus musculus GN=Mrpl21 PE=1 SV=1","Q9D1N9",23,0,3.70500731738945e-06,0,0
"72","39S ribosomal protein L22, mitochondrial OS=Mus musculus GN=Mrpl22 PE=1 SV=1","Q8BU88",24,0,0,2.87952084773094e-06,0
"73","39S ribosomal protein L28, mitochondrial OS=Mus musculus GN=Mrpl28 PE=1 SV=3","Q9D1B9",30,2.57987951962643e-06,0,0,0
"74","39S ribosomal protein L37, mitochondrial OS=Mus musculus GN=Mrpl37 PE=1 SV=1","Q921S7",48,1.61242469976652e-06,2.66297400937367e-06,1.43976042386547e-06,1.43189342130887e-06
"75","4-trimethylaminobutyraldehyde dehydrogenase OS=Mus musculus GN=Aldh9a1 PE=1 SV=1","Q9JLJ2",54,0,0,1.27978704343597e-05,1.08187502943336e-05
"76","40S ribosomal protein S10 OS=Mus musculus GN=Rps10 PE=1 SV=1","P63325",19,1.01837349458938e-05,6.72751328683874e-06,7.09271450914778e-05,5.96873468250853e-05
"77","40S ribosomal protein S11 OS=Mus musculus GN=Rps11 PE=1 SV=3","P62281",18,5.80472891915948e-05,6.3911376224968e-05,5.75904169546188e-05,5.3457354395531e-05
"78","40S ribosomal protein S12 OS=Mus musculus GN=Rps12 PE=1 SV=2","P63323",15,0,8.52151682999574e-06,2.53397834600322e-05,2.5201324215036e-05
"79","40S ribosomal protein S13 OS=Mus musculus GN=Rps13 PE=1 SV=2","P62301",17,5.46327427685598e-05,6.76708689440838e-05,6.09780885401846e-05,5.86234012488806e-05
"80","40S ribosomal protein S14 OS=Mus musculus GN=Rps14 PE=1 SV=3","P62264",16,2.1767733446848e-05,2.66297400937367e-05,5.39910158949551e-05,5.7991683563009e-05
"81","40S ribosomal protein S15 OS=Mus musculus GN=Rps15 PE=1 SV=2","P62843",17,4.55272856404665e-05,4.51139126293892e-05,6.3010691491524e-05,6.67093876280365e-05
"82","40S ribosomal protein S15a OS=Mus musculus GN=Rps15a PE=1 SV=2","P62245",15,3.35384337551436e-05,2.84050560999858e-05,5.5286800276434e-05,5.49847073782604e-05
"83","40S ribosomal protein S16 OS=Mus musculus GN=Rps16 PE=1 SV=4","P14131",16,3.62795557447467e-05,5.05965061780997e-05,9.28645473393227e-05,7.73222447506787e-05
"84","40S ribosomal protein S17 OS=Mus musculus GN=Rps17 PE=1 SV=2","P63276",16,2.1767733446848e-05,3.46186621218577e-05,6.04699378023497e-05,6.44352039588989e-05
"85","40S ribosomal protein S18 OS=Mus musculus GN=Rps18 PE=1 SV=3","P62270",18,2.7948694795953e-05,3.55063201249822e-05,6.52691392152346e-05,5.72757368523546e-05
"86","40S ribosomal protein S19 OS=Mus musculus GN=Rps19 PE=1 SV=3","Q9CZX8",16,4.83727409929956e-06,0,6.47892190739461e-05,5.15481631671191e-05
"87","40S ribosomal protein S2 OS=Mus musculus GN=Rps2 PE=1 SV=3","P25444",31,4.74364943931312e-05,6.45985953241612e-05,5.35033551062265e-05,7.31651348178465e-05
"88","40S ribosomal protein S20 OS=Mus musculus GN=Rps20 PE=1 SV=1","P60867",13,1.19071362444297e-05,6.55501294615057e-06,3.18962309287119e-05,2.37914599232858e-05
"89","40S ribosomal protein S21 OS=Mus musculus GN=Rps21 PE=1 SV=1","Q9CQR2",9,0,0,2.68755279121554e-05,1.90919122841182e-05
"90","40S ribosomal protein S23 OS=Mus musculus GN=Rps23 PE=1 SV=3","P62267",16,1.69304593475485e-05,1.86408180656157e-05,2.37560469937802e-05,2.57740815835596e-05
"91","40S ribosomal protein S24 OS=Mus musculus GN=Rps24 PE=1 SV=1","P62849",15,1.54792771177586e-05,2.84050560999858e-05,4.14651002073255e-05,3.43654421114128e-05
"92","40S ribosomal protein S25 OS=Mus musculus GN=Rps25 PE=1 SV=1","P62852",14,1.65849397690271e-05,1.52169943392781e-05,2.71497679928917e-05,2.70014188018243e-05
"93","40S ribosomal protein S26 OS=Mus musculus GN=Rps26 PE=1 SV=3","P62855",13,1.78607043666445e-05,1.96650388384517e-05,2.12641539524746e-05,1.85044688292223e-05
"94","40S ribosomal protein S27 OS=Mus musculus GN=Rps27 PE=1 SV=3","Q6ZWU9",9,3.00985943956417e-05,3.78734081333144e-05,3.45542501727713e-05,3.05470596545891e-05
"95","40S ribosomal protein S27-like OS=Mus musculus GN=Rps27l PE=1 SV=3","Q6ZWY3",9,0,0,2.68755279121554e-05,2.29102947409418e-05
"96","40S ribosomal protein S28 OS=Mus musculus GN=Rps28 PE=1 SV=1","P62858",8,1.45118222978987e-05,0,2.1596406357982e-05,8.59136052785319e-06
"97","40S ribosomal protein S29 OS=Mus musculus GN=Rps29 PE=3 SV=2","P62274",7,2.76415662817118e-05,1.82603932071337e-05,3.94905716260243e-05,3.92747909844717e-05
"98","40S ribosomal protein S3 OS=Mus musculus GN=Rps3 PE=1 SV=1","P62908",27,3.7264926394604e-05,4.26075841499787e-05,7.93467966930303e-05,7.38220608319237e-05
"99","40S ribosomal protein S30 OS=Mus musculus GN=Fau PE=1 SV=1","P62862",7,0,0,9.87264290650607e-06,0
"100","40S ribosomal protein S3a OS=Mus musculus GN=Rps3a PE=1 SV=3","P97351",30,3.09585542355172e-05,3.4086067319983e-05,5.06795669200645e-05,5.72757368523546e-05
"101","40S ribosomal protein S4, X isoform OS=Mus musculus GN=Rps4x PE=1 SV=2","P62702",30,4.90177108729022e-05,4.97088481749751e-05,5.06795669200645e-05,5.49847073782604e-05
"102","40S ribosomal protein S5 OS=Mus musculus GN=Rps5 PE=1 SV=3","P97461",23,1.6825301214955e-05,2.0377540245642e-05,4.95778372044109e-05,4.48244897105384e-05
"103","40S ribosomal protein S6 OS=Mus musculus GN=Rps6 PE=1 SV=1","P62754",29,1.6013045294233e-05,1.90999515155077e-05,4.05118795129042e-05,4.97706402992875e-05
"104","40S ribosomal protein S7 OS=Mus musculus GN=Rps7 PE=2 SV=1","P62082",22,3.51801752676332e-06,0,6.59672048752906e-05,6.71688186723068e-05
"105","40S ribosomal protein S8 OS=Mus musculus GN=Rps8 PE=1 SV=2","P62242",24,2.57987951962643e-05,3.01803721062349e-05,4.31928127159641e-05,5.15481631671191e-05
"106","40S ribosomal protein S9 OS=Mus musculus GN=Rps9 PE=1 SV=3","Q6ZWN5",23,3.86981927943965e-05,3.33450658565051e-05,4.95778372044109e-05,5.82718366236999e-05
"107","40S ribosomal protein SA OS=Mus musculus GN=Rpsa PE=1 SV=4","P14206",33,7.03603505352664e-06,3.87341674090715e-06,2.82716592322674e-05,2.70758028756585e-05
"108","4F2 cell-surface antigen heavy chain OS=Mus musculus GN=Slc3a2 PE=1 SV=1","P10852",58,0,0,2.38305173605319e-06,1.18501524522113e-06
"109","5-oxoprolinase OS=Mus musculus GN=Oplah PE=1 SV=1","Q8K010",138,5.60843373831833e-07,0,1.75275182035796e-06,2.73927437119957e-06
"110","5'-3' exoribonuclease 1 OS=Mus musculus GN=Xrn1 PE=1 SV=1","P97789",194,2.59317786766574e-06,1.75701377938056e-06,0,0
"111","5'-3' exoribonuclease 2 OS=Mus musculus GN=Xrn2 PE=1 SV=1","Q9DBR1",109,3.33727534190208e-05,3.79168409408067e-05,2.02887340463978e-05,1.98625949818257e-05
"112","5'-AMP-activated protein kinase subunit gamma-1 OS=Mus musculus GN=Prkag1 PE=1 SV=2","O54950",38,0,0,0,2.71306121932206e-06
"113","5'-AMP-activated protein kinase subunit gamma-2 OS=Mus musculus GN=Prkag2 PE=1 SV=2","Q91WG5",63,0,0,4.93632145325304e-06,4.90934887305897e-06
"114","52 kDa repressor of the inhibitor of the protein kinase OS=Mus musculus GN=Thap12 PE=2 SV=2","Q9CUX1",87,8.89613627457391e-07,0,0,0
"115","60 kDa heat shock protein, mitochondrial OS=Mus musculus GN=Hspd1 PE=1 SV=1","P63038",61,0,0,1.13292623517283e-06,0
"116","60S acidic ribosomal protein P0 OS=Mus musculus GN=Rplp0 PE=1 SV=3","P14869",34,2.16254606792216e-05,2.13037920749893e-05,3.45542501727713e-05,3.13331972192293e-05
"117","60S acidic ribosomal protein P1 OS=Mus musculus GN=Rplp1 PE=1 SV=1","P47955",11,1.055405258029e-05,0,1.88477728215116e-05,1.87447866062251e-05
"118","60S acidic ribosomal protein P2 OS=Mus musculus GN=Rplp2 PE=1 SV=3","P99027",12,2.25739457967313e-05,1.06518960374947e-05,1.15180833909237e-05,8.59136052785319e-06
"119","60S ribosomal export protein NMD3 OS=Mus musculus GN=Nmd3 PE=1 SV=1","Q99L48",58,0,0,1.07237328122394e-05,1.24426600748219e-05
"120","60S ribosomal protein L10 OS=Mus musculus GN=Rpl10 PE=1 SV=3","Q6ZWV3",25,4.95336867768275e-05,6.64678312739668e-05,0,0
"121","60S ribosomal protein L10-like OS=Mus musculus GN=Rpl10l PE=2 SV=1","P86048",25,0,0,2.90255701451279e-05,2.88669713735867e-05
"122","60S ribosomal protein L10a OS=Mus musculus GN=Rpl10a PE=1 SV=3","P53026",25,2.32189156766379e-05,2.21559437579889e-05,2.62612301313062e-05,2.74923536891302e-05
"123","60S ribosomal protein L11 OS=Mus musculus GN=Rpl11 PE=1 SV=4","Q9CXW4",20,5.80472891915948e-06,0,2.59156876295784e-05,1.71827210557064e-05
"124","60S ribosomal protein L12 OS=Mus musculus GN=Rpl12 PE=1 SV=2","P35979",18,2.14989959968869e-05,1.89367040666572e-05,2.30361667818475e-05,1.90919122841182e-05
"125","60S ribosomal protein L13 OS=Mus musculus GN=Rpl13 PE=1 SV=3","P47963",24,1.28993975981322e-05,1.42025280499929e-05,2.87952084773094e-05,3.00697618474862e-05
"126","60S ribosomal protein L13a OS=Mus musculus GN=Rpl13a PE=1 SV=4","P19253",23,3.365060242991e-06,5.55751097608418e-06,1.50235870316397e-05,2.24122448552692e-05
"127","60S ribosomal protein L14 OS=Mus musculus GN=Rpl14 PE=1 SV=3","Q9CR57",24,1.12869728983656e-05,1.06518960374947e-05,1.72771250863856e-05,2.00465078983241e-05
"128","60S ribosomal protein L15 OS=Mus musculus GN=Rpl15 PE=2 SV=4","Q9CZM2",24,1.12869728983656e-05,1.06518960374947e-05,1.87168855102511e-05,1.86146144770152e-05
"129","60S ribosomal protein L17 OS=Mus musculus GN=Rpl17 PE=1 SV=3","Q9CPR4",21,4.60692771361863e-05,5.27522470428308e-05,3.12633692039359e-05,2.78196436140008e-05
"130","60S ribosomal protein L18 OS=Mus musculus GN=Rpl18 PE=1 SV=3","P35980",22,5.27702629014498e-06,0,7.85323867562983e-06,1.40585899546689e-05
"131","60S ribosomal protein L18a OS=Mus musculus GN=Rpl18a PE=1 SV=1","P62717",21,1.28993975981322e-05,1.42025280499929e-05,2.46816072662652e-05,2.61831939896478e-05
"132","60S ribosomal protein L19 OS=Mus musculus GN=Rpl19 PE=1 SV=1","P84099",23,8.4126506074775e-06,7.4100146347789e-06,1.35212283284757e-05,1.19531972561436e-05
"133","60S ribosomal protein L21 OS=Mus musculus GN=Rpl21 PE=1 SV=3","O09167",19,8.14698795671505e-06,1.56975310026237e-05,1.81864474593533e-05,1.98957822750284e-05
"134","60S ribosomal protein L22 OS=Mus musculus GN=Rpl22 PE=1 SV=2","P67984",15,0,0,6.91085003455425e-06,4.58205894818837e-06
"135","60S ribosomal protein L23 OS=Mus musculus GN=Rpl23 PE=1 SV=1","P62830",15,3.35384337551436e-05,3.12455617099844e-05,4.14651002073255e-05,2.74923536891302e-05
"136","60S ribosomal protein L23a OS=Mus musculus GN=Rpl23a PE=1 SV=1","P62751",18,3.86981927943965e-05,4.26075841499787e-05,2.30361667818475e-05,2.29102947409418e-05
"137","60S ribosomal protein L24 OS=Mus musculus GN=Rpl24 PE=1 SV=2","Q8BP67",18,2.36488955965756e-05,3.07721441083179e-05,1.72771250863856e-05,2.100110351253e-05
"138","60S ribosomal protein L26 OS=Mus musculus GN=Rpl26 PE=1 SV=1","P61255",17,2.73163713842799e-05,3.00759417529261e-05,2.64238383674133e-05,1.81934693531009e-05
"139","60S ribosomal protein L27 OS=Mus musculus GN=Rpl27 PE=1 SV=2","P61358",16,1.69304593475485e-05,1.06518960374947e-05,2.80753282653766e-05,2.1478401319633e-05
"140","60S ribosomal protein L27a OS=Mus musculus GN=Rpl27a PE=1 SV=5","P14115",17,1.59345499741633e-05,2.25569563146946e-05,1.62608236107159e-05,1.21289795687339e-05
"141","60S ribosomal protein L28 OS=Mus musculus GN=Rpl28 PE=1 SV=2","P41105",16,2.41863704964978e-05,2.92927141031104e-05,2.59156876295784e-05,1.93305611876697e-05
"142","60S ribosomal protein L29 OS=Mus musculus GN=Rpl29 PE=1 SV=2","P47915",18,0,0,3.83936113030792e-06,3.81838245682364e-06
"143","60S ribosomal protein L3 OS=Mus musculus GN=Rpl3 PE=1 SV=3","P27659",46,2.52379518224325e-05,2.22300439043367e-05,2.47889186022055e-05,2.98829931403589e-05
"144","60S ribosomal protein L30 OS=Mus musculus GN=Rpl30 PE=1 SV=2","P62889",13,1.19071362444297e-05,1.31100258923011e-05,3.18962309287119e-05,3.43654421114128e-05
"145","60S ribosomal protein L31 OS=Mus musculus GN=Rpl31 PE=1 SV=1","P62900",14,1.38207831408559e-05,1.52169943392781e-05,1.72771250863856e-05,1.96373954922359e-05
"146","60S ribosomal protein L32 OS=Mus musculus GN=Rpl32 PE=1 SV=2","P62911",16,0,0,1.0798203178991e-05,1.50348809237431e-05
"147","60S ribosomal protein L34 OS=Mus musculus GN=Rpl34 PE=1 SV=2","Q9D1R9",13,0,0,1.32900962202966e-05,1.58609732821905e-05
"148","60S ribosomal protein L35 OS=Mus musculus GN=Rpl35 PE=1 SV=1","Q6ZWV7",15,5.15975903925287e-06,0,6.91085003455425e-06,1.14551473704709e-05
"149","60S ribosomal protein L35a OS=Mus musculus GN=Rpl35a PE=1 SV=2","O55142",13,1.48839203055371e-05,1.31100258923011e-05,3.45542501727713e-05,2.64349554703175e-05
"150","60S ribosomal protein L36a OS=Mus musculus GN=Rpl36a PE=1 SV=2","P83882",12,1.61242469976652e-05,1.06518960374947e-05,2.01566459341166e-05,2.00465078983241e-05
"151","60S ribosomal protein L37a OS=Mus musculus GN=Rpl37a PE=1 SV=2","P61514",10,1.54792771177586e-05,2.13037920749893e-05,2.7643400138217e-05,2.40558094779889e-05
"152","60S ribosomal protein L38 OS=Mus musculus GN=Rpl38 PE=1 SV=3","Q9JJI8",8,2.41863704964978e-05,3.1955688112484e-05,1.72771250863856e-05,2.1478401319633e-05
"153","60S ribosomal protein L4 OS=Mus musculus GN=Rpl4 PE=1 SV=3","Q9D8E6",47,4.94019482481657e-06,7.25235474893254e-06,2.1320707553412e-05,2.48601070593199e-05
"154","60S ribosomal protein L5 OS=Mus musculus GN=Rpl5 PE=1 SV=3","P47962",34,4.55272856404665e-06,7.51898543823154e-06,2.74401398430831e-05,2.32472108400733e-05
